title,id,language,ontologyId,address,position,access,distance,categories,foodTypes,references,contacts,openingHours,province
ប្លេក អេន ប្រោន,here:pds:place:116w6498-9eef58f13746d8f0b6fb8938abff357c,km,here:cm:ontology:coffee,"{'label': 'ប្លេក អេន ប្រោន, 120906 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'កន្ថោក', 'postalCode': '120906'}","{'lat': 11.52322, 'lng': 104.78774}","[{'lat': 11.52324, 'lng': 104.78788}]",55166,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232250195'}]",Not Available,Not Available,Phnom Penh
តែបៃតងទឹកដោះគោកាហ្វេ,here:pds:place:116w6490-a0b7b6f0da9a2d202804b80bdf4d201a,km,here:cm:ontology:coffee,"{'label': 'តែបៃតងទឹកដោះគោកាហ្វេ, 120907 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'បឹងធំ', 'postalCode': '120907'}","{'lat': 11.46798, 'lng': 104.78403}","[{'lat': 11.46785, 'lng': 104.78405}]",55472,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232265999'}]",Not Available,Not Available,Phnom Penh
ចាវ៉ា,here:pds:place:116w6490-8962116766a8d543ae903992a659dee8,km,here:cm:ontology:coffee,"{'label': 'ចាវ៉ា, 120506 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ដង្កោរ', 'subdistrict': 'ប្រទះឡាង', 'postalCode': '120506'}","{'lat': 11.46818, 'lng': 104.78478}","[{'lat': 11.46805, 'lng': 104.78482}]",55549,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232256710'}]",Not Available,Not Available,Phnom Penh
CL Café,here:pds:place:116w6498-0e0aa4bbfcaf4483b808ed34bdac24d1,en,here:cm:ontology:coffee,"{'label': 'CL Café, 120906 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'កន្ថោក', 'postalCode': '120906'}","{'lat': 11.52048, 'lng': 104.79352}","[{'lat': 11.52049, 'lng': 104.79352}]",55813,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,Not Available,[{'phone': [{'value': '+855966666442'}]}],Not Available,Phnom Penh
កាហ្វេ អាម៉ាហ្សូន,here:pds:place:116w6490-c84b667cdd14071010864a69e05a56de,km,here:cm:ontology:coffee,"{'label': 'កាហ្វេ អាម៉ាហ្សូន, 120506 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ដង្កោរ', 'subdistrict': 'ប្រទះឡាង', 'postalCode': '120506'}","{'lat': 11.46833, 'lng': 104.7887}","[{'lat': 11.46833, 'lng': 104.7887}]",55967,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232260166'}]",Not Available,Not Available,Phnom Penh
រ៉ាត់ សោភា,here:pds:place:116w6490-a8a0d80797d751553694a0fdbb56dece,km,here:cm:ontology:coffee,"{'label': 'រ៉ាត់ សោភា, 120506 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ដង្កោរ', 'subdistrict': 'ប្រទះឡាង', 'postalCode': '120506'}","{'lat': 11.4684, 'lng': 104.78873}","[{'lat': 11.46833, 'lng': 104.78873}]",55969,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232261400'}]",Not Available,Not Available,Phnom Penh
ឆាផាយ៉ម,here:pds:place:116w6498-7d8c5d25da5ef4bd68f1920d6b51f9c4,km,here:cm:ontology:coffee,"{'label': 'ឆាផាយ៉ម, ផ្លូវ 99, 120909 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ចោមចៅ', 'street': 'ផ្លូវ 99', 'postalCode': '120909'}","{'lat': 11.52582, 'lng': 104.79699}","[{'lat': 11.526, 'lng': 104.79686}]",56156,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232258432'}]",Not Available,Not Available,Phnom Penh
ដូងក្រឡុក,here:pds:place:116w6498-c078e29e3f27cd85cfe27db29b2661e3,km,here:cm:ontology:coffee,"{'label': 'ដូងក្រឡុក, ផ្លូវ 99, 120909 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ចោមចៅ', 'street': 'ផ្លូវ 99', 'postalCode': '120909'}","{'lat': 11.52584, 'lng': 104.79702}","[{'lat': 11.52602, 'lng': 104.79689}]",56159,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232263479'}]",Not Available,Not Available,Phnom Penh
តែបៃតងទឹកដោះគោកាហ្វេ,here:pds:place:116w6498-85a8e669ac29ace01a1db71fccc38d84,km,here:cm:ontology:coffee,"{'label': 'តែបៃតងទឹកដោះគោកាហ្វេ, ផ្លូវ 99, 120909 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ចោមចៅ', 'street': 'ផ្លូវ 99', 'postalCode': '120909'}","{'lat': 11.52584, 'lng': 104.79702}","[{'lat': 11.52602, 'lng': 104.79689}]",56159,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232255829'}]",Not Available,Not Available,Phnom Penh
ដូង,here:pds:place:116w6498-37db062d179fbf5e1f0db0173e399242,km,here:cm:ontology:coffee,"{'label': 'ដូង, 120902 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ត្រពាំងកន្សែង', 'postalCode': '120902'}","{'lat': 11.53817, 'lng': 104.79757}","[{'lat': 11.53815, 'lng': 104.79753}]",56162,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232258084'}]",Not Available,Not Available,Phnom Penh
កាហ្វេ ដូងក្រអូប,here:pds:place:116w6498-43a66aa4ecf0cf13b87c24c88823df3b,km,here:cm:ontology:coffee,"{'label': 'កាហ្វេ ដូងក្រអូប, 120909 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ចោមចៅ', 'postalCode': '120909'}","{'lat': 11.52639, 'lng': 104.79749}","[{'lat': 11.52639, 'lng': 104.79749}]",56207,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232152765'}]",Not Available,Not Available,Phnom Penh
កាហ្វេមណ្ឌលគិរី,here:pds:place:116w6490-28c2a77d9a8784d8ead344f2ea5fbfd7,km,here:cm:ontology:coffee,"{'label': 'កាហ្វេមណ្ឌលគិរី, 120506 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ដង្កោរ', 'subdistrict': 'ប្រទះឡាង', 'postalCode': '120506'}","{'lat': 11.46807, 'lng': 104.79151}","[{'lat': 11.46795, 'lng': 104.79144}]",56274,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232259517'}]",Not Available,Not Available,Phnom Penh
ប៊ី កាហ្វេ,here:pds:place:116w6498-dc4b157605efe4fee062667143aa1aae,km,here:cm:ontology:coffee,"{'label': 'ប៊ី កាហ្វេ, 120902 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ត្រពាំងកន្សែង', 'postalCode': '120902'}","{'lat': 11.53612, 'lng': 104.79861}","[{'lat': 11.53609, 'lng': 104.79862}]",56282,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232152575'}]",Not Available,Not Available,Phnom Penh
ធីតា កាហ្វេ,here:pds:place:116w6498-1055dd04f24b1321f13abdc19e1c40f9,km,here:cm:ontology:coffee,"{'label': 'ធីតា កាហ្វេ, 120902 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ត្រពាំងកន្សែង', 'postalCode': '120902'}","{'lat': 11.5354, 'lng': 104.79893}","[{'lat': 11.53539, 'lng': 104.79888}]",56320,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232261785'}]",Not Available,Not Available,Phnom Penh
ម៉ូទ័រ,here:pds:place:116w6490-8fc0b4c09c99ca25ca6c0bb3aefd8fa0,km,here:cm:ontology:coffee,"{'label': 'ម៉ូទ័រ, 120506 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ដង្កោរ', 'subdistrict': 'ប្រទះឡាង', 'postalCode': '120506'}","{'lat': 11.46279, 'lng': 104.79483}","[{'lat': 11.46273, 'lng': 104.79478}]",56732,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232255289'}]",Not Available,Not Available,Phnom Penh
ផ្កាកាហ្វេ,here:pds:place:116w649b-3d38b57f6364a935eda4344e916e0054,km,here:cm:ontology:coffee,"{'label': 'ផ្កាកាហ្វេ, 120901 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'សំរោងក្រោម', 'postalCode': '120901'}","{'lat': 11.57746, 'lng': 104.80296}","[{'lat': 11.5775, 'lng': 104.80308}]",56791,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232264308'}]",Not Available,Not Available,Phnom Penh
មាត់ស្ទឹង,here:pds:place:116w6490-dea10e2a2188dfacf639751fc485120b,km,here:cm:ontology:coffee,"{'label': 'មាត់ស្ទឹង, 120505 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ដង្កោរ', 'subdistrict': 'ក្រាំងពង្រ', 'postalCode': '120505'}","{'lat': 11.44806, 'lng': 104.79319}","[{'lat': 11.44793, 'lng': 104.79319}]",56869,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232249143'}]",Not Available,Not Available,Phnom Penh
លក់កាហ្វេ,here:pds:place:116w6498-78789dce9e0611186c257532ac2f18c1,km,here:cm:ontology:coffee,"{'label': 'លក់កាហ្វេ, 120909 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ចោមចៅ', 'postalCode': '120909'}","{'lat': 11.53053, 'lng': 104.80478}","[{'lat': 11.53052, 'lng': 104.80469}]",56978,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232260650'}]",Not Available,Not Available,Phnom Penh
កាហ្វេ ហេង ហេង,here:pds:place:116w6498-214f224c263ce5b10af4cd2a36b6d995,km,here:cm:ontology:coffee,"{'label': 'កាហ្វេ ហេង ហេង, ផ្លូវជាតិ 4, 120909 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ចោមចៅ', 'street': 'ផ្លូវជាតិ 4', 'postalCode': '120909'}","{'lat': 11.53059, 'lng': 104.80499}","[{'lat': 11.5305, 'lng': 104.80502}]",57001,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232265397'}]",[{'mobile': [{'value': '+855888422422'}]}],Not Available,Phnom Penh
អា គា,here:pds:place:116w6498-72a1da8ca9ca5890a6babacce0d222f8,km,here:cm:ontology:coffee,"{'label': 'អា គា, ផ្លូវជាតិ 4, 120909 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ចោមចៅ', 'street': 'ផ្លូវជាតិ 4', 'postalCode': '120909'}","{'lat': 11.53061, 'lng': 104.80513}","[{'lat': 11.53052, 'lng': 104.80515}]",57016,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232260142'}]",Not Available,Not Available,Phnom Penh
ខូខូណាត់ កាហ្វេ,here:pds:place:116w6498-002791d23a6903d7ad3ca68b8162c94f,km,here:cm:ontology:coffee,"{'label': 'ខូខូណាត់ កាហ្វេ, ផ្លូវ សង្កាត់ចោមចៅ, 120909 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ចោមចៅ', 'street': 'ផ្លូវ សង្កាត់ចោមចៅ', 'postalCode': '120909'}","{'lat': 11.5301, 'lng': 104.80537}","[{'lat': 11.53035, 'lng': 104.80532}]",57044,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232258221'}]",Not Available,Not Available,Phnom Penh
អានី,here:pds:place:116w6498-e630e4641f87139b9299997cf496040e,km,here:cm:ontology:coffee,"{'label': 'អានី, 120909 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ចោមចៅ', 'postalCode': '120909'}","{'lat': 11.53074, 'lng': 104.80584}","[{'lat': 11.53074, 'lng': 104.80582}]",57092,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232150162'}]",Not Available,Not Available,Phnom Penh
Coffee Today Tomnop Kob Srov,here:pds:place:116w649b-502d2fb725d54b548e2df16322cf9ac5,en,here:cm:ontology:coffee,"{'label': 'Coffee Today Tomnop Kob Srov, 120901 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'សំរោងក្រោម', 'postalCode': '120901'}","{'lat': 11.56533, 'lng': 104.80669}","[{'lat': 11.56546, 'lng': 104.8067}]",57148,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}, {'id': '700-7200-0328', 'name': 'B2B Sales & Services'}]",,Not Available,[{'phone': [{'value': '+85577817777'}]}],Not Available,Phnom Penh
អិន ផ្លឹស,here:pds:place:116w649b-a49f46b98c905c91c310284d623446f1,km,here:cm:ontology:coffee,"{'label': 'អិន ផ្លឹស, 120901 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'សំរោងក្រោម', 'postalCode': '120901'}","{'lat': 11.56423, 'lng': 104.807}","[{'lat': 11.56426, 'lng': 104.80714}]",57179,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232260018'}]",[{'mobile': [{'value': '+855969005255'}]}],Not Available,Phnom Penh
កាហ្វេ លី 168,here:pds:place:116w6498-b6411d76ef9dc4e15c41b9f4f009b30f,km,here:cm:ontology:coffee,"{'label': 'កាហ្វេ លី 168, 120901 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'សំរោងក្រោម', 'postalCode': '120901'}","{'lat': 11.55657, 'lng': 104.80849}","[{'lat': 11.5566, 'lng': 104.80861}]",57329,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,Not Available,[{'phone': [{'value': '+85570824889'}]}],Not Available,Phnom Penh
កាហ្វេ ប្រ៊ីស,here:pds:place:116w6498-c18c4450304fff0f48c83ac801edba16,km,here:cm:ontology:coffee,"{'label': 'កាហ្វេ ប្រ៊ីស, 120909 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ចោមចៅ', 'postalCode': '120909'}","{'lat': 11.53102, 'lng': 104.80868}","[{'lat': 11.53089, 'lng': 104.8087}]",57400,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232263140'}]",Not Available,Not Available,Phnom Penh
លីនដា,here:pds:place:116w6499-06753fb6d21f49a629464447ad12bb61,km,here:cm:ontology:coffee,"{'label': 'លីនដា, 120902 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ត្រពាំងកន្សែង', 'postalCode': '120902'}","{'lat': 11.54889, 'lng': 104.81003}","[{'lat': 11.5489, 'lng': 104.8101}]",57497,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232255309'}]",Not Available,Not Available,Phnom Penh
Natei Coffee,here:pds:place:116w6499-ed77d77705aa4fd68fc4189aeb6429e0,en,here:cm:ontology:coffee,"{'label': 'Natei Coffee, ផ្លូវ 121 ឃេ, 120902 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ត្រពាំងកន្សែង', 'street': 'ផ្លូវ 121 ឃេ', 'postalCode': '120902'}","{'lat': 11.54758, 'lng': 104.81176}","[{'lat': 11.5476, 'lng': 104.81176}]",57687,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,Not Available,[{'phone': [{'value': '+85598757539'}]}],Not Available,Phnom Penh
ធារ៉ា ធារ៉ា,here:pds:place:116w6499-f96bfdc9fae946fecdca1708d9759155,km,here:cm:ontology:coffee,"{'label': 'ធារ៉ា ធារ៉ា, 120909 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ចោមចៅ', 'postalCode': '120909'}","{'lat': 11.53394, 'lng': 104.81291}","[{'lat': 11.53394, 'lng': 104.81291}]",57848,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232148643'}]",Not Available,Not Available,Phnom Penh
អារ៉ាប៊ីធា,here:pds:place:116w6499-ca841ecfdac4f10318a11d8c0a0a4ec3,km,here:cm:ontology:coffee,"{'label': 'អារ៉ាប៊ីធា, 120909 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ចោមចៅ', 'postalCode': '120909'}","{'lat': 11.53297, 'lng': 104.81296}","[{'lat': 11.533, 'lng': 104.81309}]",57857,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232148317'}]",Not Available,Not Available,Phnom Penh
ឈីត ឆាត កាហ្វេ,here:pds:place:116w6499-0a99a712548f465674d48e25674a97a6,km,here:cm:ontology:coffee,"{'label': 'ឈីត ឆាត កាហ្វេ, 120909 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ចោមចៅ', 'postalCode': '120909'}","{'lat': 11.53163, 'lng': 104.8131}","[{'lat': 11.53164, 'lng': 104.8131}]",57878,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,Not Available,Not Available,Not Available,Phnom Penh
តែបៃតងទឹកដោះគោកាហ្វេ,here:pds:place:116w6490-3e2b556c14ccdc0eb8720c7730e50055,km,here:cm:ontology:coffee,"{'label': 'តែបៃតងទឹកដោះគោកាហ្វេ, 120505 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ដង្កោរ', 'subdistrict': 'ក្រាំងពង្រ', 'postalCode': '120505'}","{'lat': 11.44561, 'lng': 104.80231}","[{'lat': 11.44565, 'lng': 104.80231}]",57897,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232151269'}]",Not Available,Not Available,Phnom Penh
អាឌីយ៉ា,here:pds:place:116w6499-dd6825d5de7237621465269caabed06c,km,here:cm:ontology:coffee,"{'label': 'អាឌីយ៉ា, 120902 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ពោធិ៍សែនជ័យ', 'subdistrict': 'ត្រពាំងកន្សែង', 'postalCode': '120902'}","{'lat': 11.53171, 'lng': 104.81344}","[{'lat': 11.53171, 'lng': 104.81344}]",57915,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,Not Available,Not Available,Not Available,Phnom Penh
លក់កាហ្វេ,here:pds:place:116w6490-1e95f64cc7b1ad9800786c09155f890d,km,here:cm:ontology:coffee,"{'label': 'លក់កាហ្វេ, 120505 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ដង្កោរ', 'subdistrict': 'ក្រាំងពង្រ', 'postalCode': '120505'}","{'lat': 11.44758, 'lng': 104.80308}","[{'lat': 11.44745, 'lng': 104.80305}]",57935,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232265122'}]",Not Available,Not Available,Phnom Penh
អានាថ អានី,here:pds:place:116w6490-b346112f44b9c1dac73e8f07da5059b3,km,here:cm:ontology:coffee,"{'label': 'អានាថ អានី, 120505 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ដង្កោរ', 'subdistrict': 'ក្រាំងពង្រ', 'postalCode': '120505'}","{'lat': 11.44569, 'lng': 104.80275}","[{'lat': 11.44561, 'lng': 104.80274}]",57942,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,Not Available,[{'phone': [{'value': '+85570442754'}]}],Not Available,Phnom Penh
ស៊ី ស៊ី ធី កាហ្វេ,here:pds:place:116w6490-3c33ac7218086a41cda69a84711f6c6b,km,here:cm:ontology:coffee,"{'label': 'ស៊ី ស៊ី ធី កាហ្វេ, 120505 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ដង្កោរ', 'subdistrict': 'ក្រាំងពង្រ', 'postalCode': '120505'}","{'lat': 11.44555, 'lng': 104.80349}","[{'lat': 11.44555, 'lng': 104.80349}]",58025,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232150154'}]",Not Available,Not Available,Phnom Penh
កាហ្វេទឹកដោះគោ,here:pds:place:116w6490-a142185b6be4336247c4cc6e8ada42a4,km,here:cm:ontology:coffee,"{'label': 'កាហ្វេទឹកដោះគោ, ផ្លូវជាតិ 3, 120505 ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ', 'district': 'ដង្កោរ', 'subdistrict': 'ក្រាំងពង្រ', 'street': 'ផ្លូវជាតិ 3', 'postalCode': '120505'}","{'lat': 11.44692, 'lng': 104.80493}","[{'lat': 11.44686, 'lng': 104.80505}]",58147,"[{'id': '100-1100-0010', 'name': 'Coffee Shop', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1232263549'}]",Not Available,Not Available,Phnom Penh
